Fair Market Rent,Price,County,State
903,903,Hanford-Corcoran, CA MSA
851,851,Fresno, CA MSA
881,881,Madera, CA MSA
1531,1531,Napa, CA MSA
924,924,Redding, CA MSA
1106,1106,Riverside-San Bernardino-Ontario, CA MSA
882,882,Merced, CA MSA
987,987,Modesto, CA MSA
1466,1466,Salinas, CA MSA
1519,1519,Oxnard-Thousand Oaks-Ventura, CA MSA
1351,1351,Vallejo-Fairfield, CA MSA
1642,1642,San Diego-Carlsbad, CA MSA
1263,1263,San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA
2292,2292,Santa Cruz-Watsonville, CA MSA
2015,2015,Santa Maria-Santa Barbara, CA MSA
1519,1519,Santa Rosa, CA MSA
964,964,Stockton-Lodi, CA MSA
881,881,Yuba City, CA MSA
728,728,Visalia-Porterville, CA MSA
744,744,Delta County, CO
614,614,Dolores County, CO
679,679,Fremont County, CO
953,953,Garfield County, CO
671,671,Huerfano County, CO
801,801,Jackson County, CO
621,621,Kiowa County, CO
653,653,Kit Carson County, CO
763,763,Lake County, CO
1009,1009,La Plata County, CO
647,647,Las Animas County, CO
654,654,Lincoln County, CO
687,687,Logan County, CO
801,801,Mineral County, CO
665,665,Moffat County, CO
688,688,Montezuma County, CO
685,685,Montrose County, CO
681,681,Morgan County, CO
631,631,Otero County, CO
1031,1031,Ouray County, CO
614,614,Phillips County, CO
1298,1298,Pitkin County, CO
627,627,Prowers County, CO
684,684,Rio Blanco County, CO
609,609,Rio Grande County, CO
1059,1059,Routt County, CO
578,578,Saguache County, CO
801,801,San Juan County, CO
1159,1159,San Miguel County, CO
629,629,Sedgwick County, CO
1321,1321,Summit County, CO
715,715,Washington County, CO
634,634,Yuma County, CO
659,659,Alamosa County, CO
784,784,Archuleta County, CO
624,624,Baca County, CO
655,655,Bent County, CO
799,799,Chaffee County, CO
557,557,Cheyenne County, CO
600,600,Conejos County, CO
633,633,Costilla County, CO
683,683,Crowley County, CO
657,657,Custer County, CO
1331,1331,Eagle County, CO
874,874,Grand County, CO
825,825,Gunnison County, CO
725,725,Hinsdale County, CO
949,949,Colorado Springs, CO HUD Metro FMR Area
875,875,Teller County, CO HUD Metro FMR Area
1428,1428,Boulder, CO MSA
772,772,Grand Junction, CO MSA
937,937,Greeley, CO MSA
1304,1304,Denver-Aurora-Lakewood, CO MSA
1096,1096,Fort Collins, CO MSA
634,634,Pueblo, CO MSA
950,950,Litchfield County, CT
1156,1156,Bridgeport, CT HUD Metro FMR Area
1621,1621,Stamford-Norwalk, CT HUD Metro FMR Area
1350,1350,Danbury, CT HUD Metro FMR Area
1091,1091,Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area
1155,1155,Southern Middlesex County, CT HUD Metro FMR Area
1181,1181,New Haven-Meriden, CT HUD Metro FMR Area
